From Bank,To Bank,Enterprise,Infra,Budget,Legacy,Deployment,Sender Algo,Receiver Algo,HW_Base,HW_Budget,HW_Infra
ICICI,ICICI,big,new,High,Present,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,High,Absent,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,Medium,Present,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,Medium,Absent,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,Low,Present,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,Low,Absent,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,High,Present,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,High,Absent,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,Medium,Present,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,Medium,Absent,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,Low,Present,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,Low,Absent,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,SBI,big,new,High,Present,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
